Symptom,Frequency,Disease,Relative_Frequency
itching,4,Migraine,0.006493506493506494
skin_rash,5,Migraine,0.008116883116883116
nodal_skin_eruptions,1,Migraine,0.0016233766233766235
continuous_sneezing,1,Migraine,0.0016233766233766235
chills,5,Migraine,0.008116883116883116
joint_pain,5,Migraine,0.008116883116883116
stomach_pain,1,Migraine,0.0016233766233766235
acidity,49,Migraine,0.07954545454545454
vomiting,10,Migraine,0.016233766233766232
fatigue,10,Migraine,0.016233766233766232
weight_gain,2,Migraine,0.003246753246753247
cold_hands_and_feets,2,Migraine,0.003246753246753247
mood_swings,2,Migraine,0.003246753246753247
weight_loss,1,Migraine,0.0016233766233766235
lethargy,3,Migraine,0.00487012987012987
cough,3,Migraine,0.00487012987012987
high_fever,9,Migraine,0.01461038961038961
sunken_eyes,1,Migraine,0.0016233766233766235
sweating,1,Migraine,0.0016233766233766235
indigestion,48,Migraine,0.07792207792207792
headache,54,Migraine,0.08766233766233766
yellowish_skin,4,Migraine,0.006493506493506494
dark_urine,2,Migraine,0.003246753246753247
nausea,8,Migraine,0.012987012987012988
loss_of_appetite,7,Migraine,0.011363636363636364
pain_behind_the_eyes,2,Migraine,0.003246753246753247
back_pain,2,Migraine,0.003246753246753247
constipation,2,Migraine,0.003246753246753247
abdominal_pain,5,Migraine,0.008116883116883116
diarrhoea,1,Migraine,0.0016233766233766235
mild_fever,1,Migraine,0.0016233766233766235
yellowing_of_eyes,4,Migraine,0.006493506493506494
acute_liver_failure,1,Migraine,0.0016233766233766235
fluid_overload,1,Migraine,0.0016233766233766235
swelled_lymph_nodes,2,Migraine,0.003246753246753247
malaise,4,Migraine,0.006493506493506494
blurred_and_distorted_vision,49,Migraine,0.07954545454545454
phlegm,1,Migraine,0.0016233766233766235
throat_irritation,1,Migraine,0.0016233766233766235
redness_of_eyes,1,Migraine,0.0016233766233766235
sinus_pressure,1,Migraine,0.0016233766233766235
runny_nose,1,Migraine,0.0016233766233766235
congestion,1,Migraine,0.0016233766233766235
chest_pain,2,Migraine,0.003246753246753247
pain_during_bowel_movements,1,Migraine,0.0016233766233766235
pain_in_anal_region,1,Migraine,0.0016233766233766235
bloody_stool,1,Migraine,0.0016233766233766235
irritation_in_anus,1,Migraine,0.0016233766233766235
neck_pain,1,Migraine,0.0016233766233766235
dizziness,2,Migraine,0.003246753246753247
puffy_face_and_eyes,2,Migraine,0.003246753246753247
enlarged_thyroid,2,Migraine,0.003246753246753247
brittle_nails,2,Migraine,0.003246753246753247
swollen_extremeties,2,Migraine,0.003246753246753247
excessive_hunger,48,Migraine,0.07792207792207792
knee_pain,1,Migraine,0.0016233766233766235
hip_joint_pain,1,Migraine,0.0016233766233766235
stiff_neck,47,Migraine,0.0762987012987013
swelling_joints,1,Migraine,0.0016233766233766235
loss_of_balance,1,Migraine,0.0016233766233766235
weakness_of_one_body_side,1,Migraine,0.0016233766233766235
loss_of_smell,1,Migraine,0.0016233766233766235
passage_of_gases,1,Migraine,0.0016233766233766235
internal_itching,1,Migraine,0.0016233766233766235
toxic_look_(typhos),1,Migraine,0.0016233766233766235
depression,51,Migraine,0.08279220779220779
irritability,50,Migraine,0.08116883116883117
muscle_pain,3,Migraine,0.00487012987012987
altered_sensorium,1,Migraine,0.0016233766233766235
red_spots_over_body,3,Migraine,0.00487012987012987
belly_pain,1,Migraine,0.0016233766233766235
abnormal_menstruation,2,Migraine,0.003246753246753247
dischromic _patches,1,Migraine,0.0016233766233766235
family_history,1,Migraine,0.0016233766233766235
rusty_sputum,1,Migraine,0.0016233766233766235
visual_disturbances,49,Migraine,0.07954545454545454
